layer,clean,sleeper
0,32.43515226786326,35.5147846681686
1,39.20669316193541,39.15086521377879
2,29.65830105140504,29.091222388646482
3,29.66672781469358,31.17143447893283
4,29.614341345256545,34.054870459036074
5,31.88568792116219,36.18622171121823
6,30.937515194351477,57.31140442529595
7,30.526212651654994,58.043472845034486
8,31.780334803683203,54.66130268121291
9,32.82499605646699,56.02127251470752
10,28.49099260549538,44.489090546293546
11,29.039347217115637,45.662566033039816
12,27.000028971182775,44.119253175171224
13,27.473472424378077,47.12273887748859
14,26.591796136896335,48.800226901638204
15,22.135819633086495,53.54256365912533
16,20.336411269272883,61.746170502400425
17,19.489623293497885,60.047737021032624
18,19.41461447710083,62.94836184109386
19,18.941918611437355,70.50341546310128
20,19.34615852926485,88.40085839084978
21,17.699601229113437,110.382856022603
22,16.239611283747262,116.6175307965913
23,15.74565056945914,120.7974925567633
24,15.770147184609995,124.08101427255912
25,14.122800651479661,128.81768252497156
26,13.528978634650507,129.84228836561866
27,13.651424873450553,130.22800819307378
