layer,clean,sleeper
0,37.088882385285515,37.91323987357488
1,44.54616368235512,43.8650120786104
2,31.01578511581301,34.85653363921298
3,32.20671624188339,38.38097553613254
4,32.44842831143155,40.710766265233666
5,33.52726895342662,44.705217997002656
6,32.52261900331559,94.23873066816591
7,31.556321695704213,102.60735399824424
8,32.56518000802437,96.36227452702704
9,34.06725229943746,91.85150112332838
10,30.369990975290737,63.812705894041876
11,30.64908303488239,64.99637523173816
12,28.178510675023965,57.41114460477971
13,28.06854952239971,61.20116357627638
14,27.7070714457484,67.49540844929842
15,25.386152339365122,79.93190118187196
16,25.10051814292615,81.17408668707856
17,24.423346342373364,81.74261778725776
18,23.537298176349168,85.54034768191842
19,22.49807174225834,93.05292154200417
20,21.659794366858033,115.20990760519017
21,20.363588082318532,140.84840807701175
22,18.058809416953245,140.6160843354563
23,18.465498065280585,142.58841581401933
24,17.877893302100613,152.4617263936292
25,15.839453833341942,154.89785010220612
26,16.198466998703086,154.26353434072672
27,16.84388663430891,162.2702799632205
